,Paper Title,Year,Author,Citation,Publication,Url of paper
0,Capsaicin receptor TRPV1 in urothelium of neurogenic human bladders and effect of intravesical resiniferatoxin,2005,A Apostolidis,not found,Elsevier,https://www.sciencedirect.com/science/article/pii/S0090429504011513
1,TRPV1 polymorphisms and risk of interferon β-induced flu-like syndrome in patients with relapsing-remitting multiple sclerosis,2017,F Buttari,not found,Elsevier,https://www.sciencedirect.com/science/article/pii/S0165572816304246
2,[HTML][HTML] Transient receptor potential vanilloid 1 modulates central inflammation in multiple sclerosis,2019,M Stampanoni,not found,frontiersin.org,https://www.frontiersin.org/articles/10.3389/fneur.2019.00030/full
3,The emerging role of TRPV1 in diabetes and obesity,2008,A Suri,not found,Elsevier,https://www.sciencedirect.com/science/article/pii/S0165614707002817
4,[HTML][HTML] TRPV1 channel mediates NLRP3 inflammasome-dependent neuroinflammation in microglia,2021,Y Zhang,not found,nature.com,https://www.nature.com/articles/s41419-021-04450-9
5,[HTML][HTML] TRPV1 gates tissue access and sustains pathogenicity in autoimmune encephalitis,2013,G Paltser,not found,Springer,https://link.springer.com/article/10.2119/molmed.2012.00329
6,"Control of Spasticity in a Multiple Sclerosis Model is mediated by CB1, not CB2, Cannabinoid Receptors",2007,G Pryce,not found,Library,https://bpspubs.onlinelibrary.wiley.com/doi/abs/10.1038/sj.bjp.0707003
7,[HTML][HTML] CBD effects on TRPV1 signaling pathways in cultured DRG neurons,2020,U Anand,not found,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7494392/
8,Interleukin‐1β causes synaptic hyperexcitability in multiple sclerosis,2012,S Rossi,not found,Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/ana.22512
9,TRPV1 channels as a newly identified target for vitamin D,2021,W Long,not found,Francis,https://www.tandfonline.com/doi/abs/10.1080/19336950.2021.1905248
,Paper Title,Year,Author,Citation,Publication,Url of paper
0,not found,not found,not found,not found,not found,not found
1,not found,not found,not found,not found,not found,not found
2,not found,not found,not found,not found,not found,not found
3,not found,not found,not found,not found,not found,not found
4,not found,not found,not found,not found,not found,not found
5,not found,not found,not found,not found,not found,not found
6,not found,not found,not found,not found,not found,not found
7,not found,not found,not found,not found,not found,not found
8,not found,not found,not found,not found,not found,not found
9,not found,not found,not found,not found,not found,not found
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
,Paper Title,Year,Author,Citation,Publication,Url of paper
